id,admission_threshold,cache_size,cms_delta,cms_epsilon,default_latency,latency_utility,model,policy,protected_fraction,request_count,size_utility,tau,tiny_window_size,window_size
1,,10000000,,,,,docker-registry-processed,two-segment,0.1,1000000,,,,
2,,10000000,,,,,docker-registry-processed,two-segment,0.2,1000000,,,,
3,,10000000,,,,,docker-registry-processed,two-segment,0.3,1000000,,,,
4,,10000000,,,,,docker-registry-processed,two-segment,0.4,1000000,,,,
5,,10000000,,,,,docker-registry-processed,two-segment,0.5,1000000,,,,
6,,10000000,,,,,docker-registry-processed,two-segment,0.6,1000000,,,,
7,,10000000,,,,,docker-registry-processed,two-segment,0.7,1000000,,,,
8,,10000000,,,,,docker-registry-processed,two-segment,0.8,1000000,,,,
9,,10000000,,,,,docker-registry-processed,two-segment,0.9,1000000,,,,
10,,10000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,100,
11,,10000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,1000,
12,,10000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,10000,
13,,10000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,100000,
14,,10000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,1000000,
15,,10000000,,,,,docker-registry-processed,lru,,1000000,,,,
16,,10000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,100
17,,10000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,1000
18,,10000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,10000
19,,10000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,100000
20,,10000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,1000000
21,,10000000,,,1,freq_over_size_times_latency,docker-registry-processed,lfu-latency-byte,,1000000,,,,
22,,10000000,,,1,freq_times_latency_over_size,docker-registry-processed,lfu-latency-byte,,1000000,,,,
23,2,10000000,1.00E-07,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
24,2,10000000,1.00E-06,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
25,2,10000000,1.00E-05,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
26,2,10000000,1.00E-04,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
27,2,10000000,1.00E-03,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
28,2,10000000,1.00E-02,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
29,2,10000000,1.00E-07,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
30,2,10000000,1.00E-06,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
31,2,10000000,1.00E-05,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
