"id","admission_threshold","cache_size","cms_delta","cms_epsilon","default_latency","latency_utility","model","policy","protected_fraction","request_count","size_utility","tau","tiny_window_size","window_size","expected_count","run_id","config_id","created_at","finished_at","stats_json","timing_json"
"1","","100000","","","","",docker-dal09,two-segment,"0.2","1000000","","","","","0",,,,,,
"2","","100000","","","","",docker-dal09,two-segment,"0.4","1000000","","","","","0",,,,,,
"3","","100000","","","","",docker-dal09,two-segment,"0.6","1000000","","","","","0",,,,,,
"4","","100000","","","","",docker-dal09,two-segment,"0.8","1000000","","","","","0",,,,,,
"5","","100000","","","","",docker-dal09,lru,"","1000000","","","","","0",,,,,,
"6","","100000","","","","",docker-dal09,lfu-sliding,"","1000000","","","","100","0",,,,,,
"7","","100000","","","","",docker-dal09,lfu-sliding,"","1000000","","","","1000","0",,,,,,
"8","","100000","","","","",docker-dal09,lfu-sliding,"","1000000","","","","10000","0",,,,,,
"9","","100000","","","1",freq_times_size_times_latency,docker-dal09,lfu-latency-byte,"","1000000","","","","","0",,,,,,
"10","","100000","","","1",freq_times_latency_over_size,docker-dal09,lfu-latency-byte,"","1000000","","","","","0",,,,,,
"11","2","100000","1.00E-04","1.00E-02","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"12","2","100000","1.00E-04","1.00E-01","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"13","2","100000","1.00E-03","1.00E-02","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"14","2","100000","1.00E-03","1.00E-01","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"15","2","100000","1.00E-02","1.00E-02","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"16","2","100000","1.00E-02","1.00E-01","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"17","4","100000","1.00E-04","1.00E-02","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"18","4","100000","1.00E-04","1.00E-01","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
"19","4","100000","1.00E-03","1.00E-02","","",docker-dal09,lfu-doorkeeper,"","1000000","","","","","0",,,,,,
